,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays,lat,lon,distance_km,salaires,minSal,moySal,maxSal,titrePage,localisationPage,ratio_moySal_idx_cout_vie,ratio_moySal_idx_loyer,ratio_moySal_idx_cout_vie_loyer,ratio_moySal_idx_courses,ratio_moySal_idx_prix_restaurants,ratio_moySal_idx_pouvoir_achat_local,ratio_minSal_idx_cout_vie,ratio_minSal_idx_loyer,ratio_minSal_idx_cout_vie_loyer,ratio_minSal_idx_courses,ratio_minSal_idx_prix_restaurants,ratio_minSal_idx_pouvoir_achat_local,ratio_maxSal_idx_cout_vie,ratio_maxSal_idx_loyer,ratio_maxSal_idx_cout_vie_loyer,ratio_maxSal_idx_courses,ratio_maxSal_idx_prix_restaurants,ratio_maxSal_idx_pouvoir_achat_local
119,119,119,119,0,0,1,Barcelona,57.22,29.49,43.96,43.63,60.07,74.37,Espagne,41.3828939,2.1774322,0.0,"{'minSal': None, 'moySal': 42664, 'maxSal': None, 'titrePage': 'Data Scientist Salaries', 'localisationPage': 'Barcelona, Spain'}",,42664,,Data Scientist Salaries,"Barcelona, Spain",745.6134218804614,1446.7277043065446,970.5186533212011,977.8592711437084,710.2380556017979,573.6721796423288,,,,,,,,,,,,
122,122,122,122,3,3,4,Palma de Majorque,52.89,24.24,39.2,40.13,53.68,70.25,Espagne,39.5695818,2.6500745,205.55534618111636,"{'minSal': None, 'moySal': 30540, 'maxSal': None, 'titrePage': 'Data Scientist Salaries', 'localisationPage': 'Palma de Mallorca'}",,30540,,Data Scientist Salaries,Palma de Mallorca,577.4248440158821,1259.90099009901,779.0816326530612,761.0266633441315,568.9269746646796,434.7330960854093,,,,,,,,,,,,
207,207,207,207,3,3,4,Toulouse,67.14,21.78,45.46,64.16,67.28,103.81,France,43.6044622,1.4442469,254.233398879439,"{'minSal': 35000, 'moySal': 42000, 'maxSal': 53000, 'titrePage': ""Salaires d'un Data Scientist"", 'localisationPage': 'Toulouse, France'}",35000.0,42000,53000.0,Salaires d'un Data Scientist,"Toulouse, France",625.5585344057193,1928.3746556473827,923.8891333040035,654.6134663341646,624.256837098692,404.58530006743086,521.2987786714328,1606.9788797061524,769.9076110866696,545.5112219451372,520.2140309155767,337.1544167228591,789.3952934167411,2433.425160697888,1165.8600967883854,826.0598503740649,787.7526753864447,510.548116751758
133,133,133,133,14,14,15,Zaragoza (Saragosse),44.32,17.52,31.51,36.4,42.2,89.98,Espagne,41.6521342,-0.8809428,256.37312248911667,"{'minSal': None, 'moySal': 32286, 'maxSal': None, 'titrePage': 'Data Scientist Salaries', 'localisationPage': 'Zaragoza, Spain'}",,32286,,Data Scientist Salaries,"Zaragoza, Spain",728.4747292418773,1842.8082191780823,1024.6271025071405,886.978021978022,765.0710900473933,358.8130695710158,,,,,,,,,,,,
123,123,123,123,4,4,5,Valence,50.07,22.27,36.78,43.67,49.83,72.54,Espagne,39.4697065,-0.3763353,303.2623759077448,"{'minSal': None, 'moySal': 34489, 'maxSal': None, 'titrePage': 'Data Scientist Salaries', 'localisationPage': 'Valencia, Valencian Community'}",,34489,,Data Scientist Salaries,"Valencia, Valencian Community",688.8156580786898,1548.6753480017962,937.710712343665,789.7641401419738,692.1332530604054,475.4480286738351,,,,,,,,,,,,
210,210,210,210,6,6,7,Marseille,64.03,21.31,43.61,61.94,61.51,98.33,France,43.2961743,5.3699525,337.76331613521114,"{'minSal': 35000, 'moySal': 47000, 'maxSal': 74000, 'titrePage': ""Salaires d'un Data Scientist"", 'localisationPage': 'Marseille, France'}",35000.0,47000,74000.0,Salaires d'un Data Scientist,"Marseille, France",734.0309230048415,2205.537306428907,1077.7344645723458,758.7988375847594,764.1033978214924,477.9823044848978,546.6187724504139,1642.421398404505,802.5682182985554,565.0629641588635,569.0131685904731,355.9442692972643,1155.7082617523035,3472.548099483811,1696.8585186883743,1194.7045527930256,1203.056413591286,752.5678836570731
124,124,124,124,5,5,6,Pampelune,49.95,20.85,36.04,44.25,50.04,122.49,Espagne,42.8182536,-1.6440304,353.3310351507882,"{'minSal': 18000, 'moySal': 31000, 'maxSal': 45000, 'titrePage': 'Data Scientist Salaries', 'localisationPage': 'Pamplona'}",18000.0,31000,45000.0,Data Scientist Salaries,Pamplona,620.6206206206206,1486.8105515587529,860.1553829078802,700.5649717514125,619.5043964828137,253.0818842354478,360.36036036036035,863.3093525179855,499.44506104328525,406.77966101694915,359.71223021582733,146.95077149155034,900.9009009009009,2158.2733812949637,1248.6126526082132,1016.9491525423729,899.2805755395684,367.37692872887584
126,126,126,126,7,7,8,Alicante,48.93,18.45,34.36,38.45,50.38,72.53,Espagne,38.3436365,-0.4881708,407.3456123461851,"{'minSal': 23000, 'moySal': 25000, 'maxSal': 28000, 'titrePage': 'Data Scientist Salaries', 'localisationPage': 'Alicante'}",23000.0,25000,28000.0,Data Scientist Salaries,Alicante,510.93398732883713,1355.0135501355014,727.5902211874272,650.1950585175553,496.22866216752675,344.6849579484351,470.0592683425302,1246.6124661246613,669.3830034924331,598.1794538361509,456.5303691941246,317.1101613125603,572.2460658082975,1517.6151761517615,814.9010477299186,728.2184655396618,555.7761016276299,386.0471529022473
120,120,120,120,1,1,2,Bilbao,55.65,25.82,41.39,48.49,53.78,81.02,Espagne,43.2630018,-2.9350039,469.31659883515573,"{'minSal': None, 'moySal': 29521, 'maxSal': None, 'titrePage': 'Data Scientist I Salaries', 'localisationPage': 'Bilbao, Spain'}",,29521,,Data Scientist I Salaries,"Bilbao, Spain",530.4761904761905,1143.3384972889232,713.2399130224692,608.8059393689421,548.9215321680922,364.366823006665,,,,,,,,,,,,
132,132,132,132,13,13,14,Murcie,45.39,23.59,34.97,34.31,46.15,65.16,Espagne,37.9923795,-1.1305431,471.35682538715275,"{'minSal': None, 'moySal': 130900, 'maxSal': None, 'titrePage': 'Data Scientist Salaries', 'localisationPage': 'Murcia'}",,130900,,Data Scientist Salaries,Murcia,2883.895131086142,5548.961424332344,3743.2084643980556,3815.214223258525,2836.403033586132,2008.90116635973,,,,,,,,,,,,
204,204,204,204,0,0,1,Nice,75.05,27.68,52.41,68.17,81.11,79.61,France,43.7009358,7.2683912,490.16482792651476,"{'minSal': None, 'moySal': 50203, 'maxSal': None, 'titrePage': 'Data Scientist Salaries', 'localisationPage': 'Nice, France'}",,50203,,Data Scientist Salaries,"Nice, France",668.927381745503,1813.692196531792,957.8897157031101,736.4383159747689,618.9495746517075,630.6117321944479,,,,,,,,,,,,
121,121,121,121,2,2,3,Madrid,53.27,28.98,41.66,41.96,53.04,86.84,Espagne,40.4167047,-3.7035825,505.7158085985498,"{'minSal': None, 'moySal': 38073, 'maxSal': None, 'titrePage': 'Data Scientist Salaries', 'localisationPage': 'Madrid, Spain'}",,38073,,Data Scientist Salaries,"Madrid, Spain",714.7174770039421,1313.768115942029,913.8982237157946,907.3641563393708,717.816742081448,438.4269921695071,,,,,,,,,,,,
208,208,208,208,4,4,5,Grenoble,65.86,18.66,43.3,63.36,59.34,91.63,France,45.1875602,5.7357819,511.679741240637,"{'minSal': 35000, 'moySal': 45000, 'maxSal': 53000, 'titrePage': ""Salaires d'un Data Scientist"", 'localisationPage': 'Grenoble, France'}",35000.0,45000,53000.0,Salaires d'un Data Scientist,"Grenoble, France",683.2675372001215,2411.575562700965,1039.2609699769055,710.2272727272727,758.3417593528817,491.10553312233986,531.4303067112056,1875.6698821007503,808.3140877598153,552.39898989899,589.8213683855746,381.9709702062643,804.7373215912542,2840.300107181136,1224.0184757505774,836.489898989899,893.1580721267272,578.4131834552003
206,206,206,206,2,2,3,Lyon,72.36,23.33,48.92,68.21,66.39,94.19,France,45.7578137,4.8320114,531.3226712680557,"{'minSal': None, 'moySal': 47458, 'maxSal': None, 'titrePage': 'Data Scientist Salaries', 'localisationPage': 'Lyon'}",,47458,,Data Scientist Salaries,Lyon,655.8595909342177,2034.2048864123449,970.1144726083401,695.7630845917022,714.8365717728574,503.8539123049156,,,,,,,,,,,,
